December 2018 - November 2019 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99,Rank out of 125 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AZ-007,"Gila County",22.02,90,1.3,20.72
AZ-009,"Graham County",17.71,104,2.47,15.24
AZ-011,"Greenlee County",18.61,91,1.84,16.77
AZ-012,"La Paz County",7.32,98,1.36,5.96
AZ-013,"Maricopa County",11.3,103,2.04,9.26
AZ-015,"Mohave County",13.52,110,2.96,10.56
AZ-017,"Navajo County",10.77,48,-1.57,12.34
AZ-019,"Pima County",15.28,108,2.78,12.5
AZ-021,"Pinal County",13.87,95,1.35,12.52
AZ-023,"Santa Cruz County",22.41,112,3.98,18.43
AZ-025,"Yavapai County",17.94,89,1.67,16.27
AZ-027,"Yuma County",5.64,94,0.76,4.88
AR-001,"Arkansas County",57.75,100,6.73,51.02
AR-003,"Ashley County",74.41,120,21.33,53.08
AR-005,"Baxter County",67.45,123,24.08,43.37
AR-007,"Benton County",73.06,125,27.78,45.28
AR-009,"Boone County",64.98,123,21.34,43.64
AR-011,"Bradley County",74.94,123,22.9,52.04
AR-013,"Calhoun County",74.15,121,22.47,51.68
AR-015,"Carroll County",65.04,122,20.39,44.65
AR-017,"Chicot County",75.48,123,22.5,52.98
AR-019,"Clark County",73.13,120,21.51,51.62
AR-021,"Clay County",69.8,122,22.05,47.75
AR-023,"Cleburne County",67.99,119,18.0,49.99
AR-025,"Cleveland County",74.74,122,23.15,51.59
AR-027,"Columbia County",68.64,119,17.43,51.21
AR-029,"Conway County",71.84,121,22.83,49.01
AR-031,"Craighead County",72.91,124,24.45,48.46
AR-033,"Crawford County",76.13,124,28.44,47.69
AR-035,"Crittenden County",76.35,125,26.42,49.93
AR-037,"Cross County",77.65,125,27.32,50.33
AR-039,"Dallas County",68.6,114,17.26,51.34
AR-041,"Desha County",74.87,123,23.37,51.5
AR-043,"Drew County",74.7,123,22.06,52.64
AR-045,"Faulkner County",75.35,123,25.06,50.29
AR-047,"Franklin County",75.37,123,27.29,48.08
AR-049,"Fulton County",64.61,122,19.4,45.21
AR-051,"Garland County",68.49,115,15.87,52.62
AR-053,"Grant County",75.12,120,23.61,51.51
AR-055,"Greene County",71.56,123,23.84,47.72
AR-057,"Hempstead County",71.44,121,20.78,50.66
AR-059,"Hot Spring County",71.37,119,19.0,52.37
AR-061,"Howard County",78.82,124,26.8,52.02
AR-063,"Independence County",71.11,124,22.78,48.33
AR-065,"Izard County",67.77,123,22.05,45.72
AR-067,"Jackson County",71.07,123,22.38,48.69
AR-069,"Jefferson County",71.44,120,20.23,51.21
AR-071,"Johnson County",73.46,123,24.05,49.41
AR-073,"Lafayette County",64.44,113,14.48,49.96
AR-075,"Lawrence County",69.22,124,21.8,47.42
AR-077,"Lee County",79.76,125,28.71,51.05
AR-079,"Lincoln County",71.82,118,19.55,52.27
AR-081,"Little River County",66.56,119,17.8,48.76
AR-083,"Logan County",67.69,121,20.9,46.79
AR-085,"Lonoke County",72.37,123,22.31,50.06
AR-087,"Madison County",71.03,124,23.39,47.64
AR-089,"Marion County",65.69,123,22.75,42.94
AR-091,"Miller County",62.92,114,13.9,49.02
AR-093,"Mississippi County",72.05,123,23.55,48.5
AR-095,"Monroe County",62.35,112,11.81,50.54
AR-097,"Montgomery County",75.95,122,23.49,52.46
AR-099,"Nevada County",70.39,118,19.24,51.15
AR-101,"Newton County",74.97,124,26.79,48.18
AR-103,"Ouachita County",66.48,114,15.06,51.42
AR-105,"Perry County",67.62,118,18.64,48.98
AR-107,"Phillips County",69.14,119,17.48,51.66
AR-109,"Pike County",83.51,125,30.55,52.96
AR-111,"Poinsett County",74.57,125,25.5,49.07
AR-113,"Polk County",74.21,121,21.38,52.83
AR-115,"Pope County",67.61,119,18.27,49.34
AR-117,"Prairie County",62.31,111,12.23,50.08
AR-119,"Pulaski County",77.11,125,26.41,50.7
AR-121,"Randolph County",68.37,123,21.18,47.19
AR-123,"St. Francis County",78.51,125,27.65,50.86
AR-125,"Saline County",75.18,121,23.02,52.16
AR-127,"Scott County",70.61,122,22.26,48.35
AR-129,"Searcy County",71.97,123,25.57,46.4
AR-131,"Sebastian County",75.53,125,30.15,45.38
AR-133,"Sevier County",72.18,122,21.52,50.66
AR-135,"Sharp County",68.23,123,21.29,46.94
AR-137,"Stone County",68.66,121,21.08,47.58
AR-139,"Union County",75.0,123,22.74,52.26
AR-141,"Van Buren County",70.38,119,19.88,50.5
AR-143,"Washington County",70.34,124,23.26,47.08
AR-145,"White County",69.23,121,19.04,50.19
AR-147,"Woodruff County",66.97,119,17.09,49.88
AR-149,"Yell County",62.92,115,14.69,48.23
CA-001,"Alameda County",20.69,86,1.93,18.76
CA-003,"Alpine County",42.11,92,5.96,36.15
CA-005,"Amador County",44.19,98,8.95,35.24
CA-007,"Butte County",56.18,100,11.75,44.43
CA-009,"Calaveras County",42.6,98,8.32,34.28
CA-011,"Colusa County",28.79,103,6.77,22.02
CA-013,"Contra Costa County",21.42,88,2.92,18.5
CA-015,"Del Norte County",73.41,49,-6.62,80.03
CA-017,"El Dorado County",55.31,96,10.65,44.66
CA-019,"Fresno County",22.69,93,3.09,19.6
CA-021,"Glenn County",36.1,114,10.2,25.9
CA-023,"Humboldt County",65.12,70,1.69,63.43
CA-025,"Imperial County",4.1,90,0.72,3.38
CA-027,"Inyo County",9.15,114,2.91,6.24
CA-029,"Kern County",12.06,105,3.01,9.05
CA-031,"Kings County",8.16,87,0.55,7.61
CA-033,"Lake County",55.55,99,12.05,43.5
CA-035,"Lassen County",24.18,93,3.76,20.42
CA-037,"Los Angeles County",20.85,101,5.29,15.56
CA-039,"Madera County",23.38,74,0.25,23.13
CA-041,"Marin County",39.92,84,4.42,35.5
CA-043,"Mariposa County",34.39,78,1.57,32.82
CA-045,"Mendocino County",59.52,92,7.88,51.64
CA-047,"Merced County",11.64,77,0.36,11.28
CA-049,"Modoc County",20.76,94,2.68,18.08
CA-051,"Mono County",17.72,88,2.09,15.63
CA-053,"Monterey County",24.63,98,4.53,20.1
CA-055,"Napa County",37.95,94,6.83,31.12
CA-057,"Nevada County",61.07,95,10.68,50.39
CA-059,"Orange County",19.58,109,6.03,13.55
CA-061,"Placer County",56.31,95,10.52,45.79
CA-063,"Plumas County",52.71,99,11.47,41.24
CA-065,"Riverside County",11.81,106,3.32,8.49
CA-067,"Sacramento County",24.11,104,5.41,18.7
CA-069,"San Benito County",18.59,87,1.84,16.75
CA-071,"San Bernardino County",9.44,110,2.58,6.86
CA-073,"San Diego County",19.69,107,5.4,14.29
CA-075,"San Francisco County",27.16,81,2.85,24.31
CA-077,"San Joaquin County",16.57,91,2.51,14.06
CA-079,"San Luis Obispo County",20.19,94,3.03,17.16
CA-081,"San Mateo County",31.27,82,2.59,28.68
CA-083,"Santa Barbara County",22.85,95,4.01,18.84
CA-085,"Santa Clara County",28.75,94,5.63,23.12
CA-087,"Santa Cruz County",40.0,92,6.93,33.07
CA-089,"Shasta County",52.35,100,10.39,41.96
CA-091,"Sierra County",56.26,97,10.48,45.78
CA-093,"Siskiyou County",38.42,66,-0.42,38.84
CA-095,"Solano County",25.15,98,5.35,19.8
CA-097,"Sonoma County",51.91,99,9.86,42.05
CA-099,"Stanislaus County",15.77,89,2.12,13.65
CA-101,"Sutter County",25.29,109,6.3,18.99
CA-103,"Tehama County",46.33,101,9.79,36.54
CA-105,"Trinity County",60.86,79,3.34,57.52
CA-107,"Tulare County",26.68,97,4.84,21.84
CA-109,"Tuolumne County",46.03,86,5.17,40.86
CA-111,"Ventura County",26.98,102,6.57,20.41
CA-113,"Yolo County",28.82,115,8.8,20.02
CA-115,"Yuba County",48.16,103,10.42,37.74
CO-001,"Adams County",16.18,79,1.01,15.17
CO-003,"Alamosa County",10.7,73,0.32,10.38
CO-005,"Arapahoe County",16.79,76,0.88,15.91
CO-007,"Archuleta County",24.3,80,0.91,23.39
CO-009,"Baca County",15.9,67,-0.07,15.97
CO-011,"Bent County",11.86,42,-1.99,13.85
CO-013,"Boulder County",20.4,73,0.32,20.08
CO-014,"Broomfield County",14.3,59,-0.43,14.73
CO-015,"Chaffee County",18.17,78,0.55,17.62
CO-017,"Cheyenne County",16.18,78,0.83,15.35
CO-019,"Clear Creek County",26.28,68,0.25,26.03
CO-021,"Conejos County",18.55,82,1.32,17.23
CO-023,"Costilla County",17.28,60,-0.31,17.59
CO-025,"Crowley County",10.68,45,-1.3,11.98
CO-027,"Custer County",19.21,48,-1.26,20.47
CO-029,"Delta County",18.86,86,1.19,17.67
CO-031,"Denver County",14.27,58,-0.75,15.02
CO-033,"Dolores County",23.44,77,0.1,23.34
CO-035,"Douglas County",17.63,60,-0.61,18.24
CO-037,"Eagle County",24.38,74,0.34,24.04
CO-039,"Elbert County",16.99,69,0.42,16.57
CO-041,"El Paso County",14.78,49,-1.24,16.02
CO-043,"Fremont County",12.85,45,-1.43,14.28
CO-045,"Garfield County",23.9,88,1.39,22.51
CO-047,"Gilpin County",22.82,68,-0.06,22.88
CO-049,"Grand County",22.35,71,-0.03,22.38
CO-051,"Gunnison County",23.77,78,0.53,23.24
CO-053,"Hinsdale County",34.31,99,3.38,30.93
CO-055,"Huerfano County",17.37,56,-0.51,17.88
CO-057,"Jackson County",25.47,96,2.33,23.14
CO-059,"Jefferson County",17.93,68,-0.26,18.19
CO-061,"Kiowa County",14.05,61,-0.16,14.21
CO-063,"Kit Carson County",15.71,48,-1.11,16.82
CO-065,"Lake County",25.65,85,1.41,24.24
CO-067,"La Plata County",22.68,63,-0.74,23.42
CO-069,"Larimer County",20.87,81,0.91,19.96
CO-071,"Las Animas County",13.9,30,-2.36,16.26
CO-073,"Lincoln County",13.5,54,-0.76,14.26
CO-075,"Logan County",17.08,73,0.45,16.63
CO-077,"Mesa County",18.14,86,1.24,16.9
CO-079,"Mineral County",33.57,95,2.98,30.59
CO-081,"Moffat County",16.49,94,1.63,14.86
CO-083,"Montezuma County",17.84,82,0.66,17.18
CO-085,"Montrose County",15.87,79,0.36,15.51
CO-087,"Morgan County",15.68,83,1.16,14.52
CO-089,"Otero County",11.42,36,-1.96,13.38
CO-091,"Ouray County",22.02,67,-0.34,22.36
CO-093,"Park County",17.54,71,0.17,17.37
CO-095,"Phillips County",18.75,76,0.82,17.93
CO-097,"Pitkin County",31.31,87,2.15,29.16
CO-099,"Prowers County",14.09,50,-1.06,15.15
CO-101,"Pueblo County",13.32,66,-0.24,13.56
CO-103,"Rio Blanco County",20.35,90,1.49,18.86
CO-105,"Rio Grande County",15.64,84,1.04,14.6
CO-107,"Routt County",27.06,89,1.99,25.07
CO-109,"Saguache County",17.07,78,0.43,16.64
CO-111,"San Juan County",44.27,93,2.5,41.77
CO-113,"San Miguel County",18.19,57,-0.91,19.1
CO-115,"Sedgwick County",21.99,110,3.89,18.1
CO-117,"Summit County",26.64,72,0.1,26.54
CO-119,"Teller County",17.51,44,-1.65,19.16
CO-121,"Washington County",15.16,40,-1.34,16.5
CO-123,"Weld County",16.1,98,2.25,13.85
CO-125,"Yuma County",15.57,38,-1.99,17.56
CT-001,"Fairfield County",51.65,88,3.86,47.79
CT-003,"Hartford County",51.66,95,5.17,46.49
CT-005,"Litchfield County",49.3,74,1.1,48.2
CT-007,"Middlesex County",53.6,102,6.84,46.76
CT-009,"New Haven County",53.77,101,6.26,47.51
CT-011,"New London County",54.61,108,8.95,45.66
CT-013,"Tolland County",53.59,106,7.97,45.62
CT-015,"Windham County",53.36,104,7.64,45.72
DE-001,"Kent County",38.89,30,-4.16,43.05
DE-003,"New Castle County",46.39,82,3.19,43.2
DE-005,"Sussex County",41.3,46,-2.3,43.6
FL-001,"Alachua County",56.68,87,4.09,52.59
FL-003,"Baker County",43.33,23,-8.18,51.51
FL-005,"Bay County",53.43,43,-5.06,58.49
FL-007,"Bradford County",49.21,47,-3.05,52.26
FL-009,"Brevard County",53.66,80,3.21,50.45
FL-011,"Broward County",56.44,60,-0.61,57.05
FL-013,"Calhoun County",52.65,38,-5.47,58.12
FL-015,"Charlotte County",54.94,88,4.08,50.86
FL-017,"Citrus County",61.85,110,8.56,53.29
FL-019,"Clay County",49.41,50,-2.43,51.84
FL-021,"Collier County",61.63,111,9.53,52.1
FL-023,"Columbia County",49.0,51,-2.54,51.54
FL-027,"DeSoto County",52.21,60,0.86,51.35
FL-029,"Dixie County",68.09,117,14.36,53.73
FL-031,"Duval County",45.78,42,-4.44,50.22
FL-033,"Escambia County",56.84,38,-5.41,62.25
FL-035,"Flagler County",54.12,78,2.27,51.85
FL-037,"Franklin County",54.08,53,-4.21,58.29
FL-039,"Gadsden County",48.96,28,-7.64,56.6
FL-041,"Gilchrist County",63.82,115,11.03,52.79
FL-043,"Glades County",51.16,67,0.89,50.27
FL-045,"Gulf County",55.37,51,-3.15,58.52
FL-047,"Hamilton County",45.98,35,-5.88,51.86
FL-049,"Hardee County",53.43,65,0.96,52.47
FL-051,"Hendry County",53.94,77,2.11,51.83
FL-053,"Hernando County",62.54,111,9.06,53.48
FL-055,"Highlands County",49.53,52,-0.91,50.44
FL-057,"Hillsborough County",65.6,120,13.32,52.28
FL-059,"Holmes County",52.24,35,-5.44,57.68
FL-061,"Indian River County",47.46,32,-5.0,52.46
FL-063,"Jackson County",50.43,39,-4.27,54.7
FL-065,"Jefferson County",49.4,39,-5.7,55.1
FL-067,"Lafayette County",58.31,86,3.88,54.43
FL-069,"Lake County",53.04,77,2.18,50.86
FL-071,"Lee County",56.71,97,6.67,50.04
FL-073,"Leon County",49.67,32,-7.61,57.28
FL-075,"Levy County",64.08,116,11.12,52.96
FL-077,"Liberty County",53.26,40,-5.6,58.86
FL-079,"Madison County",49.39,42,-4.2,53.59
FL-081,"Manatee County",56.77,85,4.24,52.53
FL-083,"Marion County",55.92,87,3.24,52.68
FL-085,"Martin County",55.65,74,1.57,54.08
FL-086,"Miami-Dade County",50.75,36,-4.41,55.16
FL-087,"Monroe County",46.6,37,-4.26,50.86
FL-089,"Nassau County",47.04,44,-3.53,50.57
FL-091,"Okaloosa County",58.71,57,-1.98,60.69
FL-093,"Okeechobee County",48.84,50,-1.92,50.76
FL-095,"Orange County",54.31,90,3.97,50.34
FL-097,"Osceola County",52.74,76,2.41,50.33
FL-099,"Palm Beach County",56.3,60,-0.58,56.88
FL-101,"Pasco County",64.37,113,11.38,52.99
FL-103,"Pinellas County",65.57,118,14.04,51.53
FL-105,"Polk County",60.72,112,9.0,51.72
FL-107,"Putnam County",55.29,75,2.15,53.14
FL-109,"St. Johns County",50.65,61,-0.34,50.99
FL-111,"St. Lucie County",51.93,65,-0.84,52.77
FL-113,"Santa Rosa County",54.54,32,-7.51,62.05
FL-115,"Sarasota County",52.83,74,0.76,52.07
FL-117,"Seminole County",55.73,94,5.26,50.47
FL-119,"Sumter County",57.97,105,5.66,52.31
FL-121,"Suwannee County",51.42,55,-1.77,53.19
FL-123,"Taylor County",54.53,57,-1.03,55.56
FL-125,"Union County",48.86,47,-2.87,51.73
FL-127,"Volusia County",57.94,98,7.06,50.88
FL-129,"Wakulla County",50.8,32,-7.42,58.22
FL-131,"Walton County",57.34,55,-2.78,60.12
FL-133,"Washington County",53.84,45,-3.49,57.33
GA-001,"Appling County",42.1,28,-5.85,47.95
GA-003,"Atkinson County",43.17,33,-5.61,48.78
GA-005,"Bacon County",39.81,20,-8.41,48.22
GA-007,"Baker County",51.52,64,-0.19,51.71
GA-009,"Baldwin County",42.34,42,-4.0,46.34
GA-011,"Banks County",61.69,105,8.89,52.8
GA-013,"Barrow County",57.71,96,7.17,50.54
GA-015,"Bartow County",56.1,91,4.93,51.17
GA-017,"Ben Hill County",47.01,67,-0.56,47.57
GA-019,"Berrien County",46.09,54,-2.37,48.46
GA-021,"Bibb County",44.01,51,-2.35,46.36
GA-023,"Bleckley County",47.46,70,0.56,46.9
GA-025,"Brantley County",48.31,56,-1.58,49.89
GA-027,"Brooks County",47.49,45,-4.45,51.94
GA-029,"Bryan County",50.3,78,1.4,48.9
GA-031,"Bulloch County",48.79,77,1.29,47.5
GA-033,"Burke County",44.38,63,-1.02,45.4
GA-035,"Butts County",46.28,47,-2.95,49.23
GA-037,"Calhoun County",54.56,80,2.66,51.9
GA-039,"Camden County",50.83,66,-0.08,50.91
GA-043,"Candler County",46.19,65,-0.73,46.92
GA-045,"Carroll County",58.74,91,5.35,53.39
GA-047,"Catoosa County",61.53,105,8.61,52.92
GA-049,"Charlton County",44.89,37,-5.36,50.25
GA-051,"Chatham County",50.44,75,1.45,48.99
GA-053,"Chattahoochee County",49.56,69,0.94,48.62
GA-055,"Chattooga County",65.29,109,10.53,54.76
GA-057,"Cherokee County",59.87,97,6.39,53.48
GA-059,"Clarke County",55.7,95,5.94,49.76
GA-061,"Clay County",48.18,38,-4.01,52.19
GA-063,"Clayton County",53.44,78,3.47,49.97
GA-065,"Clinch County",41.73,22,-8.09,49.82
GA-067,"Cobb County",55.48,87,4.38,51.1
GA-069,"Coffee County",43.71,37,-4.52,48.23
GA-071,"Colquitt County",47.8,48,-2.43,50.23
GA-073,"Columbia County",43.28,49,-2.66,45.94
GA-075,"Cook County",46.16,48,-3.16,49.32
GA-077,"Coweta County",56.01,89,4.85,51.16
GA-079,"Crawford County",46.59,55,-1.45,48.04
GA-081,"Crisp County",51.86,90,4.86,47
GA-083,"Dade County",63.88,107,9.78,54.1
GA-085,"Dawson County",70.87,110,11.63,59.24
GA-087,"Decatur County",47.59,34,-6.01,53.6
GA-089,"DeKalb County",55.37,92,4.97,50.4
GA-091,"Dodge County",47.3,69,-0.11,47.41
GA-093,"Dooly County",49.83,81,2.68,47.15
GA-095,"Dougherty County",53.67,87,4.26,49.41
GA-097,"Douglas County",56.28,88,4.44,51.84
GA-099,"Early County",49.03,41,-4.02,53.05
GA-101,"Echols County",43.99,29,-6.93,50.92
GA-103,"Effingham County",50.96,86,2.76,48.2
GA-105,"Elbert County",46.14,57,-2.18,48.32
GA-107,"Emanuel County",45.42,60,-0.91,46.33
GA-109,"Evans County",48.68,79,1.21,47.47
GA-111,"Fannin County",74.12,115,14.16,59.96
GA-113,"Fayette County",53.81,83,3.83,49.98
GA-115,"Floyd County",61.48,107,9.44,52.04
GA-117,"Forsyth County",64.82,112,11.35,53.47
GA-119,"Franklin County",54.21,85,3.99,50.22
GA-121,"Fulton County",56.6,93,5.76,50.84
GA-123,"Gilmer County",72.97,105,11.52,61.45
GA-125,"Glascock County",45.71,56,-1.04,46.75
GA-127,"Glynn County",48.61,55,-2.12,50.73
GA-129,"Gordon County",61.9,105,9.18,52.72
GA-131,"Grady County",49.91,46,-3.92,53.83
GA-133,"Greene County",46.69,56,-1.14,47.83
GA-135,"Gwinnett County",59.37,102,8.21,51.16
GA-137,"Habersham County",74.39,109,10.86,63.53
GA-139,"Hall County",63.56,104,9.01,54.55
GA-141,"Hancock County",42.46,38,-4.6,47.06
GA-143,"Haralson County",58.67,93,5.54,53.13
GA-145,"Harris County",53.42,77,2.14,51.28
GA-147,"Hart County",49.73,70,0.68,49.05
GA-149,"Heard County",59.28,97,6.42,52.86
GA-151,"Henry County",50.66,66,0.8,49.86
GA-153,"Houston County",47.36,63,0.31,47.05
GA-155,"Irwin County",46.79,62,-0.83,47.62
GA-157,"Jackson County",59.15,102,8.7,50.45
GA-159,"Jasper County",43.5,36,-5.37,48.87
GA-161,"Jeff Davis County",41.58,29,-5.78,47.36
GA-163,"Jefferson County",48.01,76,1.88,46.13
GA-165,"Jenkins County",44.82,56,-1.36,46.18
GA-167,"Johnson County",45.39,61,-0.91,46.3
GA-169,"Jones County",43.16,48,-3.78,46.94
GA-171,"Lamar County",50.55,67,0.77,49.78
GA-173,"Lanier County",44.74,36,-4.86,49.6
GA-175,"Laurens County",45.3,56,-1.34,46.64
GA-177,"Lee County",54.56,96,5.9,48.66
GA-179,"Liberty County",49.58,70,0.43,49.15
GA-181,"Lincoln County",42.04,39,-4.98,47.02
GA-183,"Long County",48.88,65,-0.02,48.9
GA-185,"Lowndes County",45.73,41,-5.11,50.84
GA-187,"Lumpkin County",79.15,118,16.63,62.52
GA-189,"McDuffie County",42.89,44,-3.95,46.84
GA-191,"McIntosh County",48.81,59,-1.41,50.22
GA-193,"Macon County",47.9,58,-0.16,48.06
GA-195,"Madison County",57.03,101,7.49,49.54
GA-197,"Marion County",51.87,75,2.45,49.42
GA-199,"Meriwether County",57.47,97,6.45,51.02
GA-201,"Miller County",49.05,42,-4.17,53.22
GA-205,"Mitchell County",50.07,61,-0.67,50.74
GA-207,"Monroe County",45.31,45,-3.08,48.39
GA-209,"Montgomery County",41.88,34,-4.57,46.45
GA-211,"Morgan County",47.5,56,-1.45,48.95
GA-213,"Murray County",70.26,113,14.09,56.17
GA-215,"Muscogee County",49.63,65,0.08,49.55
GA-217,"Newton County",47.31,47,-2.55,49.86
GA-219,"Oconee County",54.58,86,4.89,49.69
GA-221,"Oglethorpe County",49.43,68,0.91,48.52
GA-223,"Paulding County",54.35,79,2.98,51.37
GA-225,"Peach County",46.18,57,-1.06,47.24
GA-227,"Pickens County",64.41,99,6.9,57.51
GA-229,"Pierce County",43.36,36,-5.39,48.75
GA-231,"Pike County",55.3,90,5.15,50.15
GA-233,"Polk County",56.6,94,5.47,51.13
GA-235,"Pulaski County",48.31,74,1.45,46.86
GA-237,"Putnam County",42.39,37,-5.12,47.51
GA-239,"Quitman County",46.58,40,-4.02,50.6
GA-241,"Rabun County",83.98,113,14.79,69.19
GA-243,"Randolph County",54.44,81,3.32,51.12
GA-245,"Richmond County",43.72,60,-1.13,44.85
GA-247,"Rockdale County",51.62,73,1.36,50.26
GA-249,"Schley County",52.09,76,3.08,49.01
GA-251,"Screven County",45.82,62,-0.73,46.55
GA-253,"Seminole County",47.21,32,-6.19,53.4
GA-255,"Spalding County",52.12,78,2.5,49.62
GA-257,"Stephens County",60.58,90,4.91,55.67
GA-259,"Stewart County",51.12,73,1.95,49.17
GA-261,"Sumter County",53.74,89,5.15,48.59
GA-263,"Talbot County",52.82,77,2.28,50.54
GA-265,"Taliaferro County",42.3,38,-5.55,47.85
GA-267,"Tattnall County",46.78,67,-0.67,47.45
GA-269,"Taylor County",49.35,63,0.18,49.17
GA-271,"Telfair County",45.17,56,-2.21,47.38
GA-273,"Terrell County",56.53,99,6.43,50.1
GA-275,"Thomas County",49.6,47,-3.47,53.07
GA-277,"Tift County",46.78,54,-1.4,48.18
GA-279,"Toombs County",42.78,40,-4.1,46.88
GA-281,"Towns County",79.42,120,16.62,62.8
GA-283,"Treutlen County",42.97,47,-3.46,46.43
GA-285,"Troup County",57.68,94,6.0,51.68
GA-287,"Turner County",49.85,76,2.13,47.72
GA-289,"Twiggs County",46.09,63,-0.44,46.53
GA-291,"Union County",77.3,119,16.52,60.78
GA-293,"Upson County",53.55,84,3.52,50.03
GA-295,"Walker County",59.69,99,5.91,53.78
GA-297,"Walton County",53.22,79,2.85,50.37
GA-299,"Ware County",41.06,20,-8.07,49.13
GA-301,"Warren County",43.15,43,-4.16,47.31
GA-303,"Washington County",43.93,55,-2.31,46.24
GA-305,"Wayne County",47.39,55,-2.02,49.41
GA-307,"Webster County",54.66,89,5.1,49.56
GA-309,"Wheeler County",43.4,49,-3.27,46.67
GA-311,"White County",80.14,119,16.3,63.84
GA-313,"Whitfield County",63.75,104,10.18,53.57
GA-315,"Wilcox County",49.0,75,1.75,47.25
GA-317,"Wilkes County",41.77,35,-6.09,47.86
GA-319,"Wilkinson County",43.99,53,-2.22,46.21
GA-321,"Worth County",50.4,73,2.05,48.35
ID-001,"Ada County",14.03,93,1.7,12.33
ID-003,"Adams County",33.37,78,0.94,32.43
ID-005,"Bannock County",21.06,82,1.57,19.49
ID-007,"Bear Lake County",24.87,100,3.47,21.4
ID-009,"Benewah County",28.46,31,-2.86,31.32
ID-011,"Bingham County",14.7,81,1.21,13.49
