January - December 2019 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 126 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AZ-011,"Greenlee County",57.0,106,1.3,55.7
AZ-012,"La Paz County",71.0,83,0.7,70.3
AZ-013,"Maricopa County",70.5,93,1.4,69.1
AZ-015,"Mohave County",61.8,79,0.4,61.4
AZ-017,"Navajo County",52.0,93,0.8,51.2
AZ-019,"Pima County",67.6,92,1.1,66.5
AZ-021,"Pinal County",68.9,97,1.3,67.6
AZ-023,"Santa Cruz County",60.3,76,0.4,59.9
AZ-025,"Yavapai County",59.3,92,1.0,58.3
AZ-027,"Yuma County",72.2,92,1.2,71
AR-001,"Arkansas County",63.4,104,1.2,62.2
AR-003,"Ashley County",65.1,118,1.9,63.2
AR-005,"Baxter County",57.7,81,0.6,57.1
AR-007,"Benton County",58.0,86,0.7,57.3
AR-009,"Boone County",57.3,79,0.5,56.8
AR-011,"Bradley County",64.3,116,1.6,62.7
AR-013,"Calhoun County",63.5,93,0.8,62.7
AR-015,"Carroll County",57.4,81,0.5,56.9
AR-017,"Chicot County",64.7,104,1.2,63.5
AR-019,"Clark County",62.9,92,0.8,62.1
AR-021,"Clay County",59.5,89,0.8,58.7
AR-023,"Cleburne County",59.5,86,0.7,58.8
AR-025,"Cleveland County",63.0,92,0.7,62.3
AR-027,"Columbia County",63.7,79,0.3,63.4
AR-029,"Conway County",60.9,90,0.7,60.2
AR-031,"Craighead County",60.5,99,1.1,59.4
AR-033,"Crawford County",59.9,84,0.6,59.3
AR-035,"Crittenden County",62.6,103,1.3,61.3
AR-037,"Cross County",61.9,101,1.1,60.8
AR-039,"Dallas County",62.7,80,0.5,62.2
AR-041,"Desha County",63.9,106,1.2,62.7
AR-043,"Drew County",64.2,112,1.5,62.7
AR-045,"Faulkner County",61.1,83,0.5,60.6
AR-047,"Franklin County",59.7,81,0.5,59.2
AR-049,"Fulton County",57.8,98,1.2,56.6
AR-051,"Garland County",61.7,95,0.9,60.8
AR-053,"Grant County",62.4,73,0.4,62
AR-055,"Greene County",59.8,91,0.9,58.9
AR-057,"Hempstead County",62.9,82,0.4,62.5
AR-059,"Hot Spring County",62.4,86,0.7,61.7
AR-061,"Howard County",61.8,89,0.5,61.3
AR-063,"Independence County",59.5,91,0.8,58.7
AR-065,"Izard County",58.0,83,0.5,57.5
AR-067,"Jackson County",60.4,92,0.8,59.6
AR-069,"Jefferson County",62.7,83,0.6,62.1
AR-071,"Johnson County",59.1,83,0.5,58.6
AR-073,"Lafayette County",64.0,89,0.5,63.5
AR-075,"Lawrence County",59.4,87,0.7,58.7
AR-077,"Lee County",62.8,104,1.2,61.6
AR-079,"Lincoln County",63.5,101,1.1,62.4
AR-081,"Little River County",63.4,97,0.8,62.6
AR-083,"Logan County",60.7,84,0.5,60.2
AR-085,"Lonoke County",62.2,89,0.7,61.5
AR-087,"Madison County",56.9,78,0.5,56.4
AR-089,"Marion County",57.5,74,0.4,57.1
AR-091,"Miller County",64.2,93,0.6,63.6
AR-093,"Mississippi County",61.5,105,1.4,60.1
AR-095,"Monroe County",62.8,104,1.1,61.7
AR-097,"Montgomery County",61.1,96,1.0,60.1
AR-099,"Nevada County",63.1,82,0.4,62.7
AR-101,"Newton County",56.8,76,0.4,56.4
AR-103,"Ouachita County",63.1,71,0.1,63
AR-105,"Perry County",61.5,89,0.7,60.8
AR-107,"Phillips County",63.3,110,1.4,61.9
AR-109,"Pike County",61.7,87,0.5,61.2
AR-111,"Poinsett County",61.2,99,1.1,60.1
AR-113,"Polk County",60.1,89,0.8,59.3
AR-115,"Pope County",59.6,81,0.6,59
AR-117,"Prairie County",62.3,93,0.8,61.5
AR-119,"Pulaski County",61.8,74,0.3,61.5
AR-121,"Randolph County",58.9,91,0.9,58
AR-123,"St. Francis County",62.4,102,1.2,61.2
AR-125,"Saline County",61.7,81,0.5,61.2
AR-127,"Scott County",60.6,93,0.8,59.8
AR-129,"Searcy County",57.4,75,0.4,57
AR-131,"Sebastian County",61.2,90,0.9,60.3
AR-133,"Sevier County",62.6,97,0.9,61.7
AR-135,"Sharp County",58.4,91,1.0,57.4
AR-137,"Stone County",58.1,78,0.4,57.7
AR-139,"Union County",64.4,106,1.2,63.2
AR-141,"Van Buren County",58.8,85,0.6,58.2
AR-143,"Washington County",57.9,84,0.5,57.4
AR-145,"White County",61.4,99,1.1,60.3
AR-147,"Woodruff County",61.6,95,0.8,60.8
AR-149,"Yell County",61.2,87,0.6,60.6
CA-001,"Alameda County",59.7,116,1.8,57.9
CA-003,"Alpine County",43.5,73,0.2,43.3
CA-005,"Amador County",57.8,87,0.6,57.2
CA-007,"Butte County",60.2,108,1.4,58.8
CA-009,"Calaveras County",58.2,88,0.6,57.6
CA-011,"Colusa County",61.6,104,1.2,60.4
CA-013,"Contra Costa County",60.6,114,1.8,58.8
CA-015,"Del Norte County",52.1,101,1.3,50.8
CA-017,"El Dorado County",53.6,74,0.2,53.4
CA-019,"Fresno County",55.8,102,1.4,54.4
CA-021,"Glenn County",60.4,103,1.1,59.3
CA-023,"Humboldt County",54.5,112,1.5,53
CA-025,"Imperial County",72.9,76,0.7,72.2
CA-027,"Inyo County",60.0,76,0.5,59.5
CA-029,"Kern County",61.7,95,1.1,60.6
CA-031,"Kings County",64.3,111,1.8,62.5
CA-033,"Lake County",57.4,104,1.0,56.4
CA-035,"Lassen County",46.6,76,0.5,46.1
CA-037,"Los Angeles County",61.0,90,1.2,59.8
CA-039,"Madera County",56.2,96,1.1,55.1
CA-041,"Marin County",56.9,120,2.1,54.8
CA-043,"Mariposa County",55.0,83,0.5,54.5
CA-045,"Mendocino County",56.1,114,1.3,54.8
CA-047,"Merced County",62.9,112,1.9,61
CA-049,"Modoc County",46.7,93,1.2,45.5
CA-051,"Mono County",43.6,74,0.3,43.3
CA-053,"Monterey County",59.1,115,1.9,57.2
CA-055,"Napa County",60.0,114,1.8,58.2
CA-057,"Nevada County",51.9,68,0.2,51.7
CA-059,"Orange County",63.9,100,1.5,62.4
CA-061,"Placer County",53.4,77,0.4,53
CA-063,"Plumas County",47.1,77,0.3,46.8
CA-065,"Riverside County",67.6,88,0.9,66.7
CA-067,"Sacramento County",62.9,119,1.8,61.1
CA-069,"San Benito County",59.1,110,1.7,57.4
CA-071,"San Bernardino County",65.5,74,0.5,65
CA-073,"San Diego County",62.4,96,1.2,61.2
CA-075,"San Francisco County",58.0,118,2.3,55.7
CA-077,"San Joaquin County",63.1,120,2.3,60.8
CA-079,"San Luis Obispo County",59.7,110,1.8,57.9
CA-081,"San Mateo County",58.0,121,2.6,55.4
CA-083,"Santa Barbara County",58.6,109,1.9,56.7
CA-085,"Santa Clara County",58.8,114,2.0,56.8
CA-087,"Santa Cruz County",58.6,121,2.9,55.7
CA-089,"Shasta County",55.3,100,0.9,54.4
CA-091,"Sierra County",46.8,77,0.4,46.4
CA-093,"Siskiyou County",49.0,99,1.1,47.9
CA-095,"Solano County",61.7,117,1.9,59.8
CA-097,"Sonoma County",57.9,116,1.8,56.1
CA-099,"Stanislaus County",62.3,118,2.0,60.3
CA-101,"Sutter County",63.4,111,1.6,61.8
CA-103,"Tehama County",58.8,99,0.9,57.9
CA-105,"Trinity County",52.9,105,1.3,51.6
CA-107,"Tulare County",54.0,88,0.8,53.2
CA-109,"Tuolumne County",49.9,76,0.2,49.7
CA-111,"Ventura County",57.7,100,1.7,56
CA-113,"Yolo County",62.4,113,1.5,60.9
CA-115,"Yuba County",60.9,102,1.1,59.8
CO-001,"Adams County",48.7,61,0.2,48.5
CO-003,"Alamosa County",42.3,77,0.5,41.8
CO-005,"Arapahoe County",48.1,53,-0.1,48.2
CO-007,"Archuleta County",43.5,93,0.9,42.6
CO-009,"Baca County",52.9,49,-0.3,53.2
CO-011,"Bent County",53.3,84,0.6,52.7
CO-013,"Boulder County",44.4,82,0.6,43.8
CO-014,"Broomfield County",50.0,72,0.4,49.6
CO-015,"Chaffee County",37.4,58,0.0,37.4
CO-017,"Cheyenne County",50.4,54,-0.1,50.5
CO-019,"Clear Creek County",37.3,91,0.9,36.4
CO-021,"Conejos County",40.2,84,0.8,39.4
CO-023,"Costilla County",42.3,100,1.4,40.9
CO-025,"Crowley County",51.8,96,0.9,50.9
CO-027,"Custer County",41.4,90,0.8,40.6
CO-029,"Delta County",46.6,96,1.6,45
CO-031,"Denver County",49.8,66,0.2,49.6
CO-033,"Dolores County",43.0,92,1.2,41.8
CO-035,"Douglas County",46.2,54,-0.2,46.4
CO-037,"Eagle County",39.1,81,0.6,38.5
CO-039,"Elbert County",47.0,68,0.2,46.8
CO-041,"El Paso County",47.7,88,0.7,47
CO-043,"Fremont County",45.1,69,0.2,44.9
CO-045,"Garfield County",43.1,88,1.0,42.1
CO-047,"Gilpin County",39.1,77,0.5,38.6
CO-049,"Grand County",37.0,86,0.7,36.3
CO-051,"Gunnison County",37.6,76,0.5,37.1
CO-053,"Hinsdale County",36.0,103,1.6,34.4
CO-055,"Huerfano County",47.3,103,1.3,46
CO-057,"Jackson County",36.2,78,0.6,35.6
CO-059,"Jefferson County",45.6,60,0.0,45.6
CO-061,"Kiowa County",51.7,60,0.1,51.6
CO-063,"Kit Carson County",50.4,76,0.5,49.9
CO-065,"Lake County",34.2,83,0.4,33.8
CO-067,"La Plata County",44.5,97,1.1,43.4
CO-069,"Larimer County",42.0,88,1.0,41
CO-071,"Las Animas County",51.2,92,0.9,50.3
CO-073,"Lincoln County",49.2,75,0.4,48.8
CO-075,"Logan County",48.6,44,-0.3,48.9
CO-077,"Mesa County",47.3,96,1.8,45.5
CO-079,"Mineral County",36.6,100,1.2,35.4
CO-081,"Moffat County",43.2,82,0.8,42.4
CO-083,"Montezuma County",48.4,94,1.1,47.3
CO-085,"Montrose County",47.4,98,1.8,45.6
CO-087,"Morgan County",49.0,88,1.1,47.9
CO-089,"Otero County",53.1,87,0.7,52.4
CO-091,"Ouray County",41.4,98,1.8,39.6
CO-093,"Park County",37.7,65,0.0,37.7
CO-095,"Phillips County",48.5,44,-0.5,49
CO-097,"Pitkin County",37.9,93,1.0,36.9
CO-099,"Prowers County",53.0,54,0.0,53
CO-101,"Pueblo County",52.3,95,1.0,51.3
CO-103,"Rio Blanco County",43.7,85,1.0,42.7
CO-105,"Rio Grande County",39.3,86,0.8,38.5
CO-107,"Routt County",39.4,87,0.8,38.6
CO-109,"Saguache County",38.5,59,0.1,38.4
CO-111,"San Juan County",35.1,104,1.8,33.3
CO-113,"San Miguel County",44.6,95,1.5,43.1
CO-115,"Sedgwick County",48.1,25,-1.0,49.1
CO-117,"Summit County",35.6,91,0.9,34.7
CO-119,"Teller County",39.8,69,0.2,39.6
CO-121,"Washington County",49.1,69,0.4,48.7
CO-123,"Weld County",47.4,56,0.0,47.4
CO-125,"Yuma County",50.0,69,0.3,49.7
CT-001,"Fairfield County",51.5,111,2.3,49.2
CT-003,"Hartford County",49.9,106,1.6,48.3
CT-005,"Litchfield County",47.5,102,1.4,46.1
CT-007,"Middlesex County",50.6,107,1.7,48.9
CT-009,"New Haven County",50.8,109,1.9,48.9
CT-011,"New London County",50.6,108,1.9,48.7
CT-013,"Tolland County",49.0,108,1.5,47.5
CT-015,"Windham County",49.1,107,1.5,47.6
DE-001,"Kent County",57.1,119,3.1,54
DE-003,"New Castle County",55.9,115,2.6,53.3
DE-005,"Sussex County",58.5,124,3.7,54.8
FL-001,"Alachua County",71.9,126,3.2,68.7
FL-003,"Baker County",70.3,124,2.9,67.4
FL-005,"Bay County",70.3,125,2.9,67.4
FL-007,"Bradford County",71.5,126,3.3,68.2
FL-009,"Brevard County",74.3,123,2.7,71.6
FL-011,"Broward County",77.5,125,3.4,74.1
FL-013,"Calhoun County",69.8,125,2.9,66.9
FL-015,"Charlotte County",75.8,124,3.0,72.8
FL-017,"Citrus County",72.8,124,3.0,69.8
FL-019,"Clay County",72.1,126,3.7,68.4
FL-021,"Collier County",76.7,125,2.8,73.9
FL-023,"Columbia County",70.1,123,2.5,67.6
FL-027,"DeSoto County",74.9,124,2.9,72
FL-029,"Dixie County",71.1,125,3.0,68.1
FL-031,"Duval County",71.5,125,3.6,67.9
FL-033,"Escambia County",69.1,123,2.1,67
FL-035,"Flagler County",73.1,126,3.7,69.4
FL-037,"Franklin County",70.8,125,3.0,67.8
FL-039,"Gadsden County",69.6,125,2.8,66.8
FL-041,"Gilchrist County",71.1,125,3.0,68.1
FL-043,"Glades County",75.2,123,2.6,72.6
FL-045,"Gulf County",70.5,124,3.2,67.3
FL-047,"Hamilton County",69.1,122,2.1,67
FL-049,"Hardee County",74.8,125,3.2,71.6
FL-051,"Hendry County",75.8,124,2.7,73.1
FL-053,"Hernando County",73.5,124,3.5,70
FL-055,"Highlands County",74.8,123,2.9,71.9
FL-057,"Hillsborough County",74.9,125,3.7,71.2
FL-059,"Holmes County",68.8,125,2.4,66.4
FL-061,"Indian River County",74.6,124,2.9,71.7
FL-063,"Jackson County",69.6,126,2.6,67
FL-065,"Jefferson County",69.9,125,2.9,67
FL-067,"Lafayette County",70.4,125,2.8,67.6
FL-069,"Lake County",73.7,124,3.3,70.4
FL-071,"Lee County",76.3,124,2.8,73.5
FL-073,"Leon County",69.9,125,2.9,67
FL-075,"Levy County",72.1,124,3.4,68.7
FL-077,"Liberty County",69.9,124,3.0,66.9
FL-079,"Madison County",69.6,125,2.6,67
FL-081,"Manatee County",74.8,124,3.1,71.7
FL-083,"Marion County",72.5,124,3.1,69.4
FL-085,"Martin County",76.7,126,3.8,72.9
FL-086,"Miami-Dade County",78.0,124,3.7,74.3
FL-087,"Monroe County",78.5,125,3.6,74.9
FL-089,"Nassau County",70.7,125,3.3,67.4
FL-091,"Okaloosa County",68.9,126,2.3,66.6
FL-093,"Okeechobee County",75.1,124,3.1,72
FL-095,"Orange County",74.4,124,3.1,71.3
FL-097,"Osceola County",74.8,125,3.2,71.6
FL-099,"Palm Beach County",76.9,126,3.5,73.4
FL-101,"Pasco County",74.1,125,3.7,70.4
FL-103,"Pinellas County",75.2,124,3.3,71.9
FL-105,"Polk County",75.0,125,3.5,71.5
FL-107,"Putnam County",72.8,126,3.6,69.2
FL-109,"St. Johns County",72.7,126,4.0,68.7
FL-111,"St. Lucie County",75.7,126,3.3,72.4
FL-113,"Santa Rosa County",68.8,123,1.9,66.9
FL-115,"Sarasota County",75.2,125,2.9,72.3
FL-117,"Seminole County",74.1,124,2.9,71.2
FL-119,"Sumter County",73.2,124,3.1,70.1
FL-121,"Suwannee County",69.9,123,2.4,67.5
FL-123,"Taylor County",70.6,126,3.0,67.6
FL-125,"Union County",70.9,126,2.9,68
FL-127,"Volusia County",73.4,124,3.1,70.3
FL-129,"Wakulla County",70.4,125,2.9,67.5
FL-131,"Walton County",69.0,125,2.5,66.5
FL-133,"Washington County",69.4,125,2.5,66.9
GA-001,"Appling County",68.7,126,2.9,65.8
GA-003,"Atkinson County",68.8,126,2.8,66
GA-005,"Bacon County",68.8,126,2.8,66
GA-007,"Baker County",69.0,126,2.9,66.1
GA-009,"Baldwin County",66.3,125,3.0,63.3
GA-011,"Banks County",62.8,125,2.5,60.3
GA-013,"Barrow County",63.1,125,2.6,60.5
GA-015,"Bartow County",62.3,122,2.1,60.2
GA-017,"Ben Hill County",68.5,126,3.4,65.1
GA-019,"Berrien County",68.2,126,2.4,65.8
GA-021,"Bibb County",66.5,126,3.1,63.4
GA-023,"Bleckley County",67.4,126,3.0,64.4
GA-025,"Brantley County",69.4,124,3.3,66.1
GA-027,"Brooks County",68.3,123,2.1,66.2
GA-029,"Bryan County",69.1,126,3.1,66
GA-031,"Bulloch County",68.1,126,3.1,65
GA-033,"Burke County",66.8,126,3.4,63.4
GA-035,"Butts County",65.3,126,3.5,61.8
GA-037,"Calhoun County",68.5,126,2.8,65.7
GA-039,"Camden County",70.1,126,3.1,67
GA-043,"Candler County",68.0,126,3.0,65
GA-045,"Carroll County",63.3,126,3.5,59.8
GA-047,"Catoosa County",62.4,125,3.1,59.3
GA-049,"Charlton County",70.0,123,3.3,66.7
GA-051,"Chatham County",69.4,125,3.3,66.1
GA-053,"Chattahoochee County",66.5,125,2.4,64.1
GA-055,"Chattooga County",62.2,124,2.3,59.9
GA-057,"Cherokee County",61.8,124,2.3,59.5
GA-059,"Clarke County",63.6,124,2.6,61
GA-061,"Clay County",67.8,126,2.5,65.3
GA-063,"Clayton County",64.5,126,3.4,61.1
GA-065,"Clinch County",69.0,123,2.5,66.5
GA-067,"Cobb County",63.3,126,3.2,60.1
GA-069,"Coffee County",68.7,126,3.1,65.6
GA-071,"Colquitt County",67.9,124,2.2,65.7
GA-073,"Columbia County",65.8,126,3.1,62.7
GA-075,"Cook County",67.9,123,2.1,65.8
GA-077,"Coweta County",64.7,126,3.7,61
GA-079,"Crawford County",66.2,126,3.0,63.2
GA-081,"Crisp County",68.1,126,3.6,64.5
GA-083,"Dade County",61.0,124,2.4,58.6
GA-085,"Dawson County",60.4,124,2.2,58.2
GA-087,"Decatur County",69.4,126,2.7,66.7
GA-089,"DeKalb County",63.9,126,3.4,60.5
GA-091,"Dodge County",68.0,126,3.1,64.9
GA-093,"Dooly County",67.7,126,3.5,64.2
GA-095,"Dougherty County",68.8,126,3.0,65.8
GA-097,"Douglas County",63.8,126,3.7,60.1
GA-099,"Early County",68.7,126,2.7,66
GA-101,"Echols County",68.7,121,2.0,66.7
GA-103,"Effingham County",68.2,125,3.1,65.1
GA-105,"Elbert County",63.6,123,2.7,60.9
GA-107,"Emanuel County",67.3,126,2.8,64.5
GA-109,"Evans County",68.6,126,3.0,65.6
GA-111,"Fannin County",58.2,124,2.2,56
GA-113,"Fayette County",64.9,126,3.6,61.3
GA-115,"Floyd County",62.5,120,2.1,60.4
GA-117,"Forsyth County",61.7,125,2.4,59.3
GA-119,"Franklin County",63.0,125,2.5,60.5
GA-121,"Fulton County",63.8,126,3.5,60.3
GA-123,"Gilmer County",59.0,123,2.0,57
GA-125,"Glascock County",65.5,126,2.6,62.9
GA-127,"Glynn County",69.9,126,3.0,66.9
GA-129,"Gordon County",62.2,123,2.2,60
GA-131,"Grady County",69.1,126,2.7,66.4
GA-133,"Greene County",64.5,126,2.7,61.8
GA-135,"Gwinnett County",62.9,126,2.8,60.1
GA-137,"Habersham County",60.7,124,2.3,58.4
GA-139,"Hall County",62.0,124,2.4,59.6
GA-141,"Hancock County",65.4,125,2.6,62.8
GA-143,"Haralson County",62.4,125,3.1,59.3
GA-145,"Harris County",65.1,126,2.7,62.4
GA-147,"Hart County",63.2,125,2.9,60.3
GA-149,"Heard County",64.0,126,3.2,60.8
GA-151,"Henry County",64.8,126,3.3,61.5
GA-153,"Houston County",67.2,126,3.1,64.1
GA-155,"Irwin County",68.4,126,3.2,65.2
GA-157,"Jackson County",63.1,125,2.6,60.5
GA-159,"Jasper County",65.5,126,3.8,61.7
GA-161,"Jeff Davis County",68.5,126,3.0,65.5
GA-163,"Jefferson County",66.0,126,2.7,63.3
GA-165,"Jenkins County",67.2,126,3.4,63.8
GA-167,"Johnson County",66.7,126,2.6,64.1
GA-169,"Jones County",66.2,126,3.4,62.8
GA-171,"Lamar County",65.4,126,3.4,62
GA-173,"Lanier County",68.3,123,2.2,66.1
GA-175,"Laurens County",67.6,126,2.9,64.7
GA-177,"Lee County",68.3,126,3.1,65.2
GA-179,"Liberty County",69.3,126,3.0,66.3
GA-181,"Lincoln County",64.6,124,2.5,62.1
GA-183,"Long County",69.3,126,3.0,66.3
GA-185,"Lowndes County",68.2,121,1.9,66.3
GA-187,"Lumpkin County",59.6,125,2.3,57.3
GA-189,"McDuffie County",65.2,126,2.9,62.3
GA-191,"McIntosh County",69.8,126,3.0,66.8
GA-193,"Macon County",67.0,126,3.1,63.9
GA-195,"Madison County",63.0,123,2.5,60.5
GA-197,"Marion County",66.1,126,2.5,63.6
GA-199,"Meriwether County",64.8,126,3.2,61.6
GA-201,"Miller County",69.1,126,2.7,66.4
GA-205,"Mitchell County",68.8,126,2.8,66
GA-207,"Monroe County",65.8,126,3.3,62.5
GA-209,"Montgomery County",68.3,126,3.1,65.2
GA-211,"Morgan County",64.8,126,3.3,61.5
GA-213,"Murray County",61.5,125,2.5,59
GA-215,"Muscogee County",66.3,125,2.5,63.8
GA-217,"Newton County",64.6,126,3.4,61.2
GA-219,"Oconee County",63.9,125,2.7,61.2
GA-221,"Oglethorpe County",63.6,123,2.5,61.1
GA-223,"Paulding County",62.9,126,3.1,59.8
GA-225,"Peach County",66.6,126,3.0,63.6
GA-227,"Pickens County",60.5,123,2.0,58.5
GA-229,"Pierce County",69.3,125,3.1,66.2
GA-231,"Pike County",65.2,126,3.3,61.9
GA-233,"Polk County",62.8,124,2.7,60.1
GA-235,"Pulaski County",67.8,126,3.2,64.6
GA-237,"Putnam County",65.8,126,3.5,62.3
GA-239,"Quitman County",67.1,125,2.2,64.9
GA-241,"Rabun County",58.6,125,2.5,56.1
GA-243,"Randolph County",67.4,126,2.6,64.8
GA-245,"Richmond County",66.9,126,3.5,63.4
GA-247,"Rockdale County",64.2,126,3.2,61
GA-249,"Schley County",66.6,126,2.8,63.8
GA-251,"Screven County",67.3,126,3.2,64.1
GA-253,"Seminole County",69.5,126,2.7,66.8
GA-255,"Spalding County",65.2,126,3.3,61.9
GA-257,"Stephens County",62.4,123,2.2,60.2
GA-259,"Stewart County",66.6,126,2.4,64.2
GA-261,"Sumter County",67.5,126,3.0,64.5
GA-263,"Talbot County",65.3,126,2.6,62.7
GA-265,"Taliaferro County",64.3,125,2.4,61.9
GA-267,"Tattnall County",68.7,126,2.9,65.8
GA-269,"Taylor County",66.0,126,2.7,63.3
GA-271,"Telfair County",68.5,126,3.2,65.3
GA-273,"Terrell County",67.9,126,2.9,65
GA-275,"Thomas County",68.7,125,2.5,66.2
GA-277,"Tift County",67.9,126,2.7,65.2
GA-279,"Toombs County",68.4,126,3.0,65.4
GA-281,"Towns County",57.8,126,2.6,55.2
GA-283,"Treutlen County",67.7,126,2.9,64.8
GA-285,"Troup County",64.5,126,2.9,61.6
GA-287,"Turner County",68.0,126,3.2,64.8
GA-289,"Twiggs County",66.9,126,3.0,63.9
GA-291,"Union County",57.8,125,2.4,55.4
GA-293,"Upson County",65.5,126,3.0,62.5
GA-295,"Walker County",61.9,125,2.9,59
GA-297,"Walton County",63.7,125,2.9,60.8
GA-299,"Ware County",69.5,125,3.0,66.5
GA-301,"Warren County",64.9,126,2.6,62.3
GA-303,"Washington County",66.2,125,2.6,63.6
GA-305,"Wayne County",69.2,126,3.0,66.2
GA-307,"Webster County",66.8,126,2.6,64.2
GA-309,"Wheeler County",68.4,126,3.1,65.3
GA-311,"White County",59.8,125,2.3,57.5
GA-313,"Whitfield County",62.4,125,2.9,59.5
GA-315,"Wilcox County",68.2,126,3.4,64.8
GA-317,"Wilkes County",64.0,124,2.5,61.5
GA-319,"Wilkinson County",66.8,126,2.8,64
GA-321,"Worth County",68.1,126,2.9,65.2
ID-001,"Ada County",51.4,73,0.4,51
ID-003,"Adams County",42.9,56,0.0,42.9
ID-005,"Bannock County",44.4,73,0.4,44
ID-007,"Bear Lake County",39.4,57,0.1,39.3
ID-009,"Benewah County",45.3,81,0.6,44.7
ID-011,"Bingham County",43.7,71,0.3,43.4
ID-013,"Blaine County",41.3,61,0.1,41.2
ID-015,"Boise County",43.2,79,0.5,42.7
ID-017,"Bonner County",43.0,74,0.5,42.5
ID-019,"Bonneville County",41.2,63,0.3,40.9
ID-021,"Boundary County",41.0,86,0.9,40.1
ID-023,"Butte County",40.5,56,-0.1,40.6
ID-025,"Camas County",41.0,83,0.8,40.2
ID-027,"Canyon County",51.6,73,0.4,51.2
ID-029,"Caribou County",40.8,51,-0.1,40.9
ID-031,"Cassia County",45.3,59,0.1,45.2
